,,,,,,,,,,,,,,,,,,,,,,
MR Application,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,
I think that I would like to use this system frequently,5,3,5,4,5,3,3,4,4,5,4,3,4,5,3,5,5,3,5,4,3,
I found the system unneccessarily complex,1,3,1,2,1,2,4,1,2,1,2,2,1,2,3,2,1,1,2,2,3,
I thought the system was easy to use,5,3,4,3,4,1,4,3,4,5,5,3,5,5,4,4,5,4,5,4,4,
I think that I would need the support of a technical person to be able to use this system,2,2,1,2,1,1,2,3,1,1,2,3,1,1,2,3,2,1,1,2,1,
I found the various functions in this system were well integrated,5,3,5,4,3,4,5,2,4,5,5,2,5,4,4,5,5,3,5,4,5,
I thought there was too much inconsistency in this system,1,2,2,2,1,1,4,2,2,1,1,1,2,1,2,1,1,2,1,2,1,
I would imagine that most people would learn this system very quickly,5,3,5,2,4,4,4,5,5,4,5,4,5,5,5,3,5,4,5,4,3,
I found this system very cumbersome to use,1,2,1,3,3,2,4,1,2,1,1,3,1,1,1,2,1,2,1,2,2,
I felt very confident using the system,5,2,5,3,5,3,4,4,4,5,3,3,5,5,5,4,5,3,5,4,5,
I needed to learn a lot of things before I could get going with this system,1,2,1,3,2,1,4,3,2,1,2,2,1,2,1,3,1,1,1,2,2,Average Score
SUS Score,97.5,57.5,95,60,82.5,70,55,70,80,97.5,85,60,95,92.5,80,75,97.5,75,97.5,75,77.5,79.762
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Web Application,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,
I think that I would like to use this system frequently,1,1,2,3,3,3,2,4,3,2,2,2,1,2,3,2,4,3,4,1,3,
I found the system unneccessarily complex,5,4,4,4,2,3,3,2,4,4,4,4,5,4,4,3,4,5,4,4,2,
I thought the system was easy to use,1,4,2,3,4,2,2,2,2,2,1,1,2,1,2,3,1,1,1,3,1,
I think that I would need the support of a technical person to be able to use this system,5,5,3,2,1,4,4,3,2,4,4,4,4,2,2,3,4,2,3,3,3,
I found the various functions in this system were well integrated,2,3,2,3,4,3,4,2,2,2,2,2,3,3,5,3,4,3,2,2,2,
I thought there was too much inconsistency in this system,4,3,4,4,3,2,3,3,1,2,2,4,5,2,2,4,2,3,5,4,5,
I would imagine that most people would learn this system very quickly,2,3,1,2,5,2,1,3,2,1,1,1,2,3,3,3,2,3,3,2,3,
I found this system very cumbersome to use,3,3,3,4,2,3,3,2,4,4,4,2,3,5,1,3,4,2,2,4,2,
I felt very confident using the system,1,1,2,4,3,2,2,3,4,1,1,2,4,3,5,2,3,1,4,1,3,
I needed to learn a lot of things before I could get going with this system,5,3,5,4,1,4,3,3,4,3,2,1,4,3,3,2,2,4,3,4,2,Average Score
SUS Score,12.5,35,25,42.5,75,40,37.5,52.5,45,27.5,27.5,32.5,27.5,40,65,45,45,37.5,42.5,25,45,39.286